('192.168.137.1', 64572)#wake#camera
('192.168.137.1', 64572)#pos#blue#[0.970965830485026, 0.36241681134259257]
('192.168.137.1', 64572)#pos#blue#[0.9712324778238932, 0.361577069317853]
('192.168.137.1', 64572)#pos#blue#[0.9714157740275066, 0.361542397958261]
('192.168.137.1', 64572)#pos#blue#[0.9711407979329427, 0.36145595974392364]
('192.168.137.1', 64572)#pos#blue#[0.970653216044108, 0.36179583514178243]
('192.168.137.1', 64572)#pos#blue#[0.9712886810302734, 0.36140419288917824]
('192.168.137.1', 64572)#pos#blue#[0.9710064570109049, 0.36170213487413194]
('192.168.137.1', 64572)#pos#blue#[0.9713623046875, 0.3618438720703125]
('192.168.137.1', 64572)#pos#blue#[0.9706310907999675, 0.36252175790292246]
('192.168.137.1', 64572)#pos#blue#[0.9712125142415364, 0.36172089753327547]
('192.168.137.1', 64572)#pos#blue#[0.97153746287028, 0.36167339748806426]
('192.168.137.1', 64572)#pos#blue#[0.9709454854329427, 0.36195300066912617]
('192.168.137.1', 64572)#pos#blue#[0.9711663564046223, 0.3621650695800781]
('192.168.137.1', 64572)#pos#blue#[0.9709028879801432, 0.36172250818323204]
('192.168.137.1', 64572)#pos#blue#[0.9708854039510091, 0.3623064111780237]
('192.168.137.1', 64572)#pos#blue#[0.9709745407104492, 0.36174963491934314]
('192.168.137.1', 64572)#pos#blue#[0.9712174097696941, 0.3620203653971354]
('192.168.137.1', 64572)#pos#blue#[0.9712127049763998, 0.3614585593894676]
('192.168.137.1', 64572)#pos#blue#[0.9710575739542643, 0.3614534166124132]
('192.168.137.1', 64572)#pos#blue#[0.9709987640380859, 0.3617104141800492]
('192.168.137.1', 64572)#pos#blue#[0.9712491353352865, 0.3614332411024306]
('192.168.137.1', 64572)#pos#blue#[0.9711169560750326, 0.36183078907154226]
('192.168.137.1', 64572)#pos#blue#[0.9712089538574219, 0.36195752179181134]
('192.168.137.1', 64572)#pos#blue#[0.9707881291707356, 0.3620275991934317]
('192.168.137.1', 64572)#pos#blue#[0.9711064656575521, 0.3621432551631221]
('192.168.137.1', 64572)#pos#blue#[0.9706940333048503, 0.3627823723687066]
('192.168.137.1', 64572)#pos#blue#[0.971117909749349, 0.3611206619827836]
('192.168.137.1', 64572)#pos#blue#[0.9708503087361654, 0.361870038067853]
('192.168.137.1', 64572)#pos#blue#[0.9710210800170899, 0.3615892198350694]
('192.168.137.1', 64572)#pos#blue#[0.971514638264974, 0.36167944448965567]
('192.168.137.1', 64572)#pos#blue#[0.9714863459269206, 0.361914712411386]
('192.168.137.1', 64572)#pos#blue#[0.9714132308959961, 0.3618031537091291]
('192.168.137.1', 64572)#pos#blue#[0.9710477193196615, 0.36200572826244215]
